gx, gy, speedX, speedY, speedZ
-3.00, 13.00, 0.65, -0.37, -0.28
-3.00, 15.00, 0.69, -0.41, -0.28
-3.00, 17.00, 0.73, -0.44, -0.28
-3.00, 19.00, 0.76, -0.48, -0.28
-3.00, 21.00, 0.78, -0.49, -0.28
-3.00, 23.00, 0.78, -0.49, -0.28
-1.00, -25.00, -0.55, 0.72, -0.16
-1.00, -23.00, -0.55, 0.72, -0.16
-1.00, -21.00, -0.55, 0.72, -0.16
-1.00, -19.00, -0.54, 0.70, -0.16
-1.00, -17.00, -0.50, 0.67, -0.16
-1.00, -15.00, -0.47, 0.63, -0.16
-1.00, -13.00, -0.43, 0.59, -0.16
-1.00, -11.00, -0.39, 0.55, -0.16
-1.00, -9.00, -0.34, 0.51, -0.16
-1.00, -7.00, -0.29, 0.46, -0.16
-1.00, -5.00, -0.24, 0.40, -0.16
-1.00, -3.00, -0.16, 0.33, -0.16
-1.00, -1.00, -0.06, 0.22, -0.16
-1.00, 1.00, 0.22, -0.06, -0.16
-1.00, 3.00, 0.33, -0.16, -0.16
-1.00, 5.00, 0.40, -0.24, -0.16
-1.00, 7.00, 0.46, -0.29, -0.16
-1.00, 9.00, 0.51, -0.34, -0.16
-1.00, 11.00, 0.55, -0.39, -0.16
-1.00, 13.00, 0.59, -0.43, -0.16
-1.00, 15.00, 0.63, -0.47, -0.16
-1.00, 17.00, 0.67, -0.50, -0.16
-1.00, 19.00, 0.70, -0.54, -0.16
-1.00, 21.00, 0.72, -0.55, -0.16
-1.00, 23.00, 0.72, -0.55, -0.16
1.00, -25.00, -0.72, 0.55, 0.16
1.00, -23.00, -0.72, 0.55, 0.16
1.00, -21.00, -0.72, 0.55, 0.16
1.00, -19.00, -0.70, 0.54, 0.16
1.00, -17.00, -0.67, 0.50, 0.16
1.00, -15.00, -0.63, 0.47, 0.16
1.00, -13.00, -0.59, 0.43, 0.16
1.00, -11.00, -0.55, 0.39, 0.16
1.00, -9.00, -0.51, 0.34, 0.16
1.00, -7.00, -0.46, 0.29, 0.16
1.00, -5.00, -0.40, 0.24, 0.16
1.00, -3.00, -0.33, 0.16, 0.16
1.00, -1.00, -0.22, 0.06, 0.16
1.00, 1.00, 0.06, -0.22, 0.16
1.00, 3.00, 0.16, -0.33, 0.16
1.00, 5.00, 0.24, -0.40, 0.16
1.00, 7.00, 0.29, -0.46, 0.16
1.00, 9.00, 0.34, -0.51, 0.16
1.00, 11.00, 0.39, -0.55, 0.16
1.00, 13.00, 0.43, -0.59, 0.16
1.00, 15.00, 0.47, -0.63, 0.16
1.00, 17.00, 0.50, -0.67, 0.16
1.00, 19.00, 0.54, -0.70, 0.16
1.00, 21.00, 0.55, -0.72, 0.16
1.00, 23.00, 0.55, -0.72, 0.16
3.00, -25.00, -0.78, 0.49, 0.28
3.00, -23.00, -0.78, 0.49, 0.28
3.00, -21.00, -0.78, 0.49, 0.28
3.00, -19.00, -0.76, 0.48, 0.28
3.00, -17.00, -0.73, 0.44, 0.28
3.00, -15.00, -0.69, 0.41, 0.28
3.00, -13.00, -0.65, 0.37, 0.28
3.00, -11.00, -0.61, 0.33, 0.28
3.00, -9.00, -0.57, 0.28, 0.28
3.00, -7.00, -0.52, 0.23, 0.28
3.00, -5.00, -0.46, 0.18, 0.28
3.00, -3.00, -0.39, 0.10, 0.28
3.00, -1.00, -0.28, 0.00, 0.28
3.00, 1.00, 0.00, -0.28, 0.28
3.00, 3.00, 0.10, -0.39, 0.28
3.00, 5.00, 0.18, -0.46, 0.28
3.00, 7.00, 0.23, -0.52, 0.28
3.00, 9.00, 0.28, -0.57, 0.28
3.00, 11.00, 0.33, -0.61, 0.28
3.00, 13.00, 0.37, -0.65, 0.28
3.00, 15.00, 0.41, -0.69, 0.28
3.00, 17.00, 0.44, -0.73, 0.28
3.00, 19.00, 0.48, -0.76, 0.28
3.00, 21.00, 0.49, -0.78, 0.28
3.00, 23.00, 0.49, -0.78, 0.28
5.00, -25.00, -0.82, 0.45, 0.37
5.00, -23.00, -0.82, 0.45, 0.37
5.00, -21.00, -0.82, 0.45, 0.37
5.00, -19.00, -0.80, 0.44, 0.37
5.00, -17.00, -0.77, 0.40, 0.37
5.00, -15.00, -0.73, 0.37, 0.37
5.00, -13.00, -0.70, 0.33, 0.37
5.00, -11.00, -0.65, 0.29, 0.37
